"Q12" "Q1" "Q13" "Q22" "Q24" "Q27" "Q30" "Q32" "Q34" "Q37" "Q40" "Q41" "Q43" "Q44" "V1" "P" "PJ_ONU" "PJ_CNJ" "PM" "PMJ_ONU" "PMJ_CNJ" "fvl" "Tot_DR" "até_5" "X5_a_10" "X10_a_20" "X20_" "RM_DOM" "S_RM_DOM" "perc_5" "perc5_a_10" "perc10_a_20" "perc20_" "Total_EF" "P2000" "EF_P" "Q70" "Q71" "Q73" "Q74" "Q75" "Q76" "Q77" "Q78" "Q79" "Km2" "AC_1" "AC_2" "AC_3" "AC_4" "AC_5" "AC_6" "AC_7" "AC_8" "AC_9" "AC_10" "AC_11" "AC_12" "AC_14" "AC_15" "AC_99" "AC_ResBP" "AC_nRes" "Seccional"
"22" 11 2003 "SANTO_AMARO" 31 14 292 5 13 15 73 518 4003 1498 4981 14 64015 9804 14841 29497 4842 7285 10 18865.043 2078.235 3186.241 4284.29 9316.277 17.295 9.74 0.11 0.169 0.227 0.494 103245 60673 1.702 1252 371 327 654 470 301 15 0 227 15.94 218775 1272698 1166802 835095 854644 1188249 1407332 1018128 85203 247983 261780 212361 45387 28330 138678 402840 4449366 "6 SANTO AMARO"
"23" 12 2013 "PARI" 7 12 398 0 13 79 4 141 1500 314 5151 2 17875 8478 2660 4363 1350 2208 130 5238 3248 1276 515 199 5.802 10.805 0.62 0.244 0.098 0.038 22810 17277 1.32 1003 156 120 179 311 44 29 1 24 2.71 59640 210539 25554 119768 4792 508831 561575 120638 83530 41865 20931 112079 19787 11584 45993 125420 1461033 "1 CENTRO"
"24" 12 2003 "PARI" 38 32 325 2 14 17 47 178 1428 362 2940 6 15525 2685 4086 7249 1331 2006 54 4447.884 1394.408 1110.791 1107.065 835.62 11.087 8.595 0.313 0.25 0.249 0.188 15084 14877 1.014 1043 267 184 327 383 155 0 0 128 2.71 62473 217863 25745 104856 4792 476129 448816 205726 75829 30601 26389 100763 6532 11965 24381 93386 1376218 "1 CENTRO"
"25" 13 2013 "CASA_VERDE" 9 11 489 1 15 28 27 533 1449 1206 2912 18 202771 91747 25993 43373 12784 20900 126 64607 26479 17377 13262 7489 9.019 9.165 0.41 0.269 0.205 0.116 99812 204453 0.488 1963 781 484 799 842 154 16 1 110 20.27 688359 3011235 467749 3316838 1993176 1897520 829323 288252 134123 653075 273123 321040 174330 42666 181443 1044132 4439122 "4 OESTE"
"26" 13 2003 "CASA_VERDE" 18 25 436 0 6 25 38 461 1566 1085 2366 56 207486 35216 53479 97977 17989 27331 22 60631.6 12055.508 14141.976 14872.044 19562.072 13.992 8.608 0.199 0.233 0.245 0.323 55928 208542 0.268 1042 275 358 337 407 78 14 3 130 20.27 679822 2948290 450430 2861344 1335069 1810298 635122 340754 117478 571347 247289 208561 152452 47342 136656 968930 3978191 "4 OESTE"
"27" 14 2003 "PINHEIROS" 17 18 414 4 9 25 54 515 2692 1843 3733 12 107937 15895 25461 47742 7525 11846 6 37110.211 3504.762 5048.241 7454.508 21102.699 18.486 10.378 0.094 0.136 0.201 0.569 94028 107651 0.873 1773 273 322 309 364 68 17 0 174 15.79 132277 1235298 2086953 2242068 2446012 1160733 2014963 44886 29466 153380 185582 253716 176094 27071 123765 432136 3869797 "3 OESTE"
"28" 14 2013 "PINHEIROS" 4 6 385 1 17 43 26 290 1663 1176 4830 4 108164 48549 10977 19433 5479 9502 22 39544 7930 8615 10287 12712 14.074 8.623 0.201 0.218 0.26 0.321 132537 108473 1.222 1501 458 272 531 517 86 71 0 38 15.79 121180 1175936 2171925 2547606 3502710 1253661 2620724 24862 19888 159076 208953 341019 178005 22170 192806 491991 4650353 "3 OESTE"
"29" 15 2013 "ITAIM_BIBI" 2 1 193 2 4 2 12 127 1251 444 3328 3 85621 38924 8277 14763 4003 6950 0 32253 4193 5824 8470 13766 16.289 9.286 0.13 0.181 0.263 0.427 95958 83261 1.152 1098 75 29 106 122 35 13 0 93 9.13 35638 304457 576505 2421610 5226526 968678 991348 8845 4902 512909 135840 224446 5639 7869 178962 220239 2854837 "3 OESTE"
"30" 15 2003 "ITAIM_BIBI" 2 7 331 0 3 9 36 381 2492 771 2980 2 74903 10721 17239 33518 4940 7754 0 26375.932 1675.53 2624.114 4397.746 17678.542 20.162 11.427 0.064 0.099 0.167 0.67 63798 71342 0.894 1154 267 170 296 341 31 3 0 82 9.13 46557 361616 566537 2282446 3845320 861778 816141 15930 4241 338729 119731 185412 5635 6810 165767 217959 2348772 "3 OESTE"
"31" 16 2013 "VILA_CLEMENTINO" 4 11 361 0 18 17 12 909 1910 897 3599 5 132138 60047 13933 24820 6954 12260 492 46783 12280 11752 13202 9549 11.876 8.501 0.262 0.251 0.282 0.204 75686 130671 0.579 1440 476 872 476 540 52 41 0 49 9.23 821601 2177676 80866 2006101 22308 948856 112004 848420 165669 136908 145541 108855 346749 21921 51486 1219836 2488174 "2 SUL"
"32" 16 2003 "VILA_CLEMENTINO" 14 15 267 1 9 11 45 945 2770 2146 3355 15 122101 18108 28957 55003 8804 13803 264 39801.346 5216.479 6845.781 8488.353 19250.734 16.908 9.556 0.131 0.172 0.213 0.484 41352 118175 0.35 1125 221 518 233 307 69 0 0 196 9.23 815960 2090397 75686 1392584 22308 910547 106988 901119 101509 81649 126664 85111 245078 5231 28671 1089709 2318818 "2 SUL"
"33" 17 2013 "IPIRANGA" 7 8 258 1 2 28 1 806 1906 1218 2115 9 108615 50409 14451 23641 7242 11745 600 34551 16088 8785 6115 3563 8.304 9.46 0.466 0.254 0.177 0.103 56927 106797 0.533 1040 86 135 93 147 28 58 0 31 11.01 442545 1338015 118216 1434081 946586 1271914 286815 908750 482216 228786 156458 178585 121602 23395 163805 727952 3536919 "2 SUL"
"34" 17 2003 "IPIRANGA" 22 20 219 0 6 16 30 606 1596 1559 1542 34 101284 16731 25667 46820 8207 12591 39 30909.858 9210.54 7282.951 7071.52 7344.846 11.884 8.5 0.298 0.236 0.229 0.238 43524 98906 0.44 720 189 401 219 300 39 0 0 108 11.01 447533 1330726 123266 969727 374701 1201782 243037 1006972 557860 191147 139672 138668 80936 23933 94299 622768 3503071 "2 SUL"
