"Ano" "Distrito" "Dpol" "Seccional" "homic" "roubovcl" "furtovcl" "jov1524" "baixopadrao" "rendamedia" "dprendamedia" "favela" "eformais" "mandato"
"19" 2013 "PENHA_DE_FRANÇA" 10 "5 LESTE" 5.2758914372282 376.095689596696 442.421181950422 0.0743109308933592 2113.315 5.609 10.925 2422.76471785286 0.155 35.4238425071036
"20" 2003 "PENHA_DE_FRANÇA" 10 "5 LESTE" 6.46002196407468 258.020877270983 391.401330764525 0.0860398925356346 1958.448 9.802 8.897 1964.60667966271 0.104 18.2400620162109
"21" 2013 "SANTO_AMARO" 11 "6 SANTO AMARO" 12.365355023082 794.130578149044 1312.10156078259 0.0572378544735107 442.314 13.135 8.502 60.452846779512 2.262 377.83029237195
"22" 2003 "SANTO_AMARO" 11 "6 SANTO AMARO" 48.4261501210654 809.185347184254 2340.07654455987 0.0756385222213544 402.84 17.295 9.74 15.6213387487308 1.702 470.202296336796
"23" 2013 "PARI" 12 "1 CENTRO" 39.1608391608392 788.811188811189 1756.64335664336 0.0755244755244755 125.42 5.802 10.805 727.272727272727 1.32 246.153846153846
"24" 2003 "PARI" 12 "1 CENTRO" 244.766505636071 1146.53784219002 2331.7230273752 0.0857326892109501 93.386 11.087 8.595 347.826086956522 1.014 998.389694041868
"25" 2013 "CASA_VERDE" 13 "4 OESTE" 4.4385045198771 262.8581010105 594.759605663532 0.0630464908690099 1044.132 9.019 9.165 62.1390632782794 0.488 75.947744006786
"26" 2003 "CASA_VERDE" 13 "4 OESTE" 8.67528411555478 222.183665403931 522.926848076497 0.0866998255303972 968.93 13.992 8.608 10.6031250301225 0.268 37.5928978340707
"27" 2003 "PINHEIROS" 14 "3 OESTE" 15.7499281988567 477.130177788895 1707.477510029 0.069716593939057 432.136 18.486 10.378 5.55879818783179 0.873 62.999712795427
"28" 2013 "PINHEIROS" 14 "3 OESTE" 3.69808808845827 268.111386413224 1087.23789800673 0.0506545615916571 491.991 14.074 8.623 20.3394844865205 1.222 79.5088939018527
"29" 2013 "ITAIM_BIBI" 15 "3 OESTE" 2.33587554455099 148.328097078988 518.564370890319 0.046752549024188 220.239 16.289 9.286 0 1.152 40.8778220296423
"30" 2003 "ITAIM_BIBI" 15 "3 OESTE" 2.67012002189498 508.657864170995 1029.33126844052 0.0659519645408061 217.959 20.162 11.427 0 0.894 41.3868603393723
"31" 2013 "VILA_CLEMENTINO" 16 "2 SUL" 3.027138294813 687.917177496254 678.835762611815 0.052626799255324 1219.836 11.876 8.501 372.338010261999 0.579 39.352797832569
"32" 2003 "VILA_CLEMENTINO" 16 "2 SUL" 11.4659175600527 773.94943530356 1757.5613631338 0.0721042415705031 1089.709 16.908 9.556 216.214445418137 0.35 56.5105936888314
"33" 2013 "IPIRANGA" 17 "2 SUL" 6.44478202826497 742.070616397367 1121.39207291811 0.0666758734981356 727.952 8.304 9.46 552.409888136998 0.533 25.7791281130599
"34" 2003 "IPIRANGA" 17 "2 SUL" 21.7211010623593 598.317601990443 1539.23620710083 0.0810295801903558 622.768 11.884 8.5 38.5055882469097 0.44 38.5055882469097
"35" 2013 "VILA_MATILDE" 21 "5 LESTE" 8.55212520311297 410.502009749423 689.871433051113 0.0727880878398282 712.18 6.221 10.55 186.246282201127 0.161 6.65165293575453
"36" 2003 "VILA_MATILDE" 21 "5 LESTE" 13.4870861150448 853.539878423552 968.180110401434 0.0848819398283287 638.3 10.245 8.773 0 0.092 52.9849811662476
"37" 2013 "SÃO_MIGUEL_PAULISTA" 22 "7 ITAQUERA" 12.0986812437444 939.297616559795 569.737898569056 0.0820620552359793 977.3 4.304 11.792 788.614041069523 0.138 46.1949647488424
